cliente_id,produto_id,nota,comentario,data_avaliacao
53969,92709,2,Quos provident quia culpa dicta aliquid nulla sapiente quisquam exercitationem sapiente.,2024-03-17
10140,99385,4,Non quod eum nesciunt facere odit adipisci non dolor exercitationem sint voluptates.,2024-08-24
63262,87305,2,Quod dicta error ullam occaecati porro laborum dolor accusantium fugit praesentium.,2024-09-21
72140,39359,5,Placeat delectus sunt quas voluptas soluta blanditiis.,2024-09-13
20585,32334,4,Voluptate qui tempora enim ut consequuntur cupiditate nobis delectus dolorum nemo odio veniam.,2024-06-29
21051,93223,3,Dolor voluptatum distinctio quo rem architecto quos temporibus a quasi fuga totam.,2024-06-25
69243,24349,2,Soluta debitis hic voluptas temporibus dicta eos.,2024-05-24
84277,58354,2,Tenetur quisquam possimus doloremque impedit ipsum cum quidem delectus autem.,2024-07-20
47596,78387,4,Aperiam hic asperiores velit incidunt beatae illum in perspiciatis voluptate labore quos.,2024-05-10
84131,34973,5,Placeat velit tempore fugit numquam pariatur voluptas voluptatem impedit magni ipsam.,2024-02-12
89542,87446,3,Officia excepturi deleniti excepturi ad illum eum expedita.,2024-10-09
80927,6620,1,Nemo ipsa fugiat reprehenderit commodi voluptatibus doloribus quo esse amet.,2024-09-14
63773,16514,3,Maxime quidem adipisci voluptates esse omnis ullam fuga accusantium sint.,2024-04-19
50787,78387,1,Qui vitae animi neque ab quisquam ipsam adipisci molestiae quia esse voluptatibus amet.,2024-06-21
37338,57204,3,Quasi nihil adipisci architecto expedita ullam odit veritatis natus temporibus a sequi atque.,2024-04-18
11704,21914,2,Molestiae accusantium omnis quae minus laudantium cum animi neque dolores soluta deserunt.,2024-01-29
27979,14028,4,Nisi sint ullam perferendis error libero reiciendis odio corrupti consectetur sit maxime repellat.,2024-05-02
73164,87394,1,Accusantium maxime dolorum neque similique pariatur enim odio.,2024-10-02
66746,78264,4,Deserunt sed harum repellat voluptas nihil dicta quod tempora aspernatur pariatur.,2024-10-01
85808,96952,1,Error eum hic praesentium accusamus perferendis pariatur praesentium corrupti quaerat.,2024-07-10
35867,89597,1,Amet fuga consectetur molestiae esse iusto corporis sed non ipsum.,2024-04-08
67520,19680,4,Neque porro inventore beatae sit earum magnam.,2024-02-24
73651,8622,1,Consectetur sapiente commodi natus ullam ducimus possimus dolores minima porro ad magnam.,2024-02-05
88388,14971,1,Aspernatur saepe illum placeat architecto facere.,2024-09-15
9873,92709,2,Accusamus dolorum unde expedita incidunt dolore numquam similique sequi fugit.,2024-02-12
67828,10646,5,Quod saepe recusandae quia animi iure non adipisci quod.,2024-01-31
73376,43610,3,Modi ipsum nemo mollitia aut animi neque labore.,2024-02-17
96511,40739,2,Doloremque illo repellendus consectetur eos ab numquam maiores fugit.,2024-08-12
9834,25971,2,Quae rerum facilis molestias facere saepe odio sequi adipisci cum eveniet quas ad.,2024-06-08
96215,70015,4,Saepe aliquam numquam quia vero tempora reprehenderit.,2024-09-05
91278,80684,5,Optio corrupti fugit similique aut amet veniam accusantium et.,2024-05-06
68327,7551,3,Ullam ratione recusandae est nihil sapiente.,2024-09-16
17726,47790,2,Vero quo suscipit explicabo veritatis assumenda.,2024-02-22
