cliente_id,produto_id,quantidade,data_adicionado
42056,38183,1,2024-04-26
69832,69952,4,2024-01-13
45484,40989,3,2024-10-09
74702,38746,4,2024-05-14
42660,22300,2,2024-04-10
60067,93421,5,2024-07-26
59041,17678,5,2024-05-09
33342,39359,4,2024-04-15
23836,63272,1,2024-10-01
28089,85288,2,2024-04-17
58626,63619,1,2024-03-23
28772,18249,5,2024-06-02
97957,86375,5,2024-08-12
79352,32963,4,2024-09-14
91385,14971,3,2024-02-26
49937,76434,5,2024-03-03
41105,81102,4,2024-04-27
60265,39496,4,2024-02-06
28481,16703,5,2024-05-18
42460,63918,1,2024-07-01
49929,40659,3,2024-09-14
20337,76804,1,2024-06-05
36859,36324,3,2024-07-09
33163,84409,5,2024-02-21
8280,5282,3,2024-07-10
55460,95075,5,2024-03-14
53344,88564,3,2024-08-26
58834,51696,2,2024-08-30
90782,92016,4,2024-07-02
41928,9383,3,2024-09-21
48025,57270,2,2024-06-16
85650,24349,4,2024-06-05
29025,97162,3,2024-04-28
62123,85451,5,2024-06-05
49937,5282,3,2024-06-27
95473,9951,1,2024-02-28
69084,88331,2,2024-02-25
26599,23093,1,2024-05-30
4633,88564,2,2024-08-13
87676,43497,4,2024-01-28
8824,72153,5,2024-07-12
18081,82422,5,2024-10-12
9834,93368,4,2024-04-23
90094,73086,5,2024-01-17
85372,35404,4,2024-03-11
5407,47071,2,2024-01-29
50186,15756,2,2024-07-31
12143,41117,3,2024-10-10
81873,29135,1,2024-07-03
37828,92075,2,2024-03-10
296,65028,5,2024-06-08
58834,32334,1,2024-05-03
59562,20529,1,2024-03-22
55250,84559,5,2024-07-07
71935,24055,3,2024-04-17
80645,56655,5,2024-03-17
87553,76738,2,2024-05-28
25664,60134,2,2024-01-04
44212,9383,3,2024-05-11
72037,46654,1,2024-03-02
57583,87394,5,2024-07-16
88631,78600,2,2024-08-20
68557,62637,2,2024-04-06
31639,69952,1,2024-06-07
10168,57390,4,2024-02-18
93185,71399,2,2024-08-06
49145,63922,5,2024-04-04
86804,69952,1,2024-07-27
89626,88222,2,2024-05-29
62123,88194,4,2024-06-28
20773,92075,3,2024-07-19
16032,23093,2,2024-09-06
34577,70889,1,2024-10-10
76499,1015,1,2024-06-02
91451,6791,5,2024-08-06
47307,53960,2,2024-01-23
11400,93421,5,2024-06-27
30511,8001,4,2024-06-24
39811,28584,5,2024-02-26
88749,74276,3,2024-05-04
21511,87718,4,2024-08-28
30976,92226,2,2024-04-07
67520,75775,3,2024-03-21
14121,63217,3,2024-01-08
20997,10932,5,2024-07-19
48380,5282,1,2024-07-22
79278,47173,1,2024-04-27
14196,72605,3,2024-02-13
25391,886,1,2024-10-08
89755,26117,3,2024-09-01
64571,92709,3,2024-04-12
86837,54473,1,2024-05-10
74907,95075,2,2024-02-02
61988,76470,3,2024-02-06
53428,10387,3,2024-09-21
30798,85526,4,2024-10-09
39138,73086,1,2024-08-17
60434,19800,4,2024-10-06
54206,48091,4,2024-02-17
68327,36605,5,2024-09-12
25789,96109,3,2024-06-22
65325,28552,5,2024-10-05
21984,47824,5,2024-03-26
8631,78241,5,2024-07-16
63732,68346,4,2024-03-30
98539,15556,1,2024-09-16
55460,71399,4,2024-01-19
32733,709,3,2024-08-24
64629,28913,1,2024-05-31
26418,92437,5,2024-09-25
4257,97620,3,2024-07-12
47994,35404,3,2024-04-18
81524,85288,1,2024-01-27
90285,48214,3,2024-01-08
8631,55974,1,2024-08-10
33799,79374,4,2024-06-15
80777,39493,3,2024-05-05
54811,93223,5,2024-10-09
35555,97620,5,2024-01-01
52703,69507,2,2024-07-29
53979,97258,2,2024-07-27
8028,57658,2,2024-09-10
11421,9463,5,2024-05-28
88631,36605,3,2024-10-02
92537,88768,3,2024-09-14
19092,66135,2,2024-09-22
21143,93223,1,2024-09-14
63781,11425,4,2024-02-07
4705,14870,3,2024-08-11
25901,30539,4,2024-08-25
55250,47925,3,2024-01-28
89626,31579,5,2024-04-13
40255,39359,3,2024-06-05
60593,39924,4,2024-07-26
43322,48654,1,2024-02-15
38534,41524,5,2024-03-25
4705,23348,5,2024-06-25
63067,62063,3,2024-09-12
41412,27776,5,2024-06-11
19656,8622,5,2024-05-17
21126,13613,5,2024-06-13
73089,6889,1,2024-05-20
14862,70370,4,2024-03-08
85923,15856,5,2024-07-25
46555,76804,1,2024-10-13
67069,56197,3,2024-04-21
62907,46112,1,2024-10-06
28772,78488,4,2024-10-12
69901,84409,1,2024-06-16
47599,25003,2,2024-02-06
56295,12102,5,2024-08-30
52496,61229,5,2024-02-27
12682,65028,4,2024-10-05
87909,27434,5,2024-01-03
58626,6116,4,2024-07-18
50186,44677,4,2024-08-03
25391,79647,4,2024-02-03
13408,78548,5,2024-05-12
28180,36327,5,2024-08-12
36406,75959,3,2024-08-07
37828,80684,4,2024-05-07
61278,26949,4,2024-02-03
80244,79037,4,2024-02-28
20337,81280,3,2024-02-18
69243,63822,1,2024-05-29
48185,88318,4,2024-05-13
13948,99385,5,2024-10-02
35555,42485,5,2024-09-13
34715,63100,5,2024-07-08
17022,31427,5,2024-04-26
38920,49848,4,2024-05-13
52861,95075,4,2024-08-14
14196,90156,1,2024-08-21
61670,49660,5,2024-05-12
39138,83127,1,2024-10-07
80840,17976,3,2024-01-11
11162,76801,4,2024-07-09
60335,55197,2,2024-04-18
71224,39151,2,2024-02-13
