pedido_id,produto_id,quantidade,preco_unitario,subtotal
86526,64591,3,779.3,2337.9
86526,68183,4,579.31,2317.24
86526,30899,1,414.35,414.35
68251,41524,1,288.96,288.96
68251,53537,1,227.15,227.15
68251,36761,4,266.59,1066.36
68251,61229,5,329.8,1649.0
68251,20174,2,364.35,728.7
97134,96027,1,10.91,10.91
97134,87718,3,11.01,33.03
97134,80404,1,287.75,287.75
14699,25764,3,412.82,1238.46
14699,12015,1,844.78,844.78
14699,56655,3,481.21,1443.63
14699,5375,5,374.97,1874.85
80326,33949,1,427.63,427.63
80326,58116,1,286.26,286.26
80326,84365,4,72.96,291.84
80326,39250,3,299.64,898.92
37018,43394,1,538.08,538.08
37018,14870,1,488.33,488.33
61534,47563,2,852.95,1705.9
7992,78264,3,100.57,301.71
7992,80010,4,456.07,1824.28
7992,37884,2,286.83,573.66
7992,97620,4,617.77,2471.08
15381,48986,1,138.79,138.79
15381,143,3,494.61,1483.83
12966,70709,2,659.51,1319.02
56456,35659,3,338.18,1014.54
56456,48005,5,555.96,2779.8
56456,85451,4,541.78,2167.12
56456,9991,4,705.6,2822.4
30003,81929,2,542.12,1084.24
30003,73202,5,102.69,513.45
30003,57204,5,132.68,663.4
30003,87920,1,744.62,744.62
32921,49328,3,802.81,2408.43
32921,73202,5,102.69,513.45
22359,36761,1,266.59,266.59
508,62274,3,371.99,1115.97
21808,42485,1,557.71,557.71
21808,83215,3,34.14,102.42
21808,12102,3,760.84,2282.52
46363,54178,3,994.59,2983.77
46363,19405,2,642.21,1284.42
46363,95075,2,73.29,146.58
20349,63459,4,872.18,3488.72
20349,65039,4,666.43,2665.72
20349,25454,1,166.07,166.07
20349,29884,1,813.4,813.4
20349,11011,4,624.91,2499.64
92380,71683,4,30.92,123.68
92380,47925,3,229.67,689.01
92380,62274,2,371.99,743.98
92380,32334,3,229.31,687.93
64773,37536,2,591.7,1183.4
64773,19680,3,44.96,134.88
64773,29620,1,152.02,152.02
64773,9123,1,185.82,185.82
90112,10847,5,527.46,2637.3
90112,47047,3,185.96,557.88
