id,cliente_id,endereco_id,data_pedido,status
86526,66117,1338,2024-07-29,pendente
68251,2369,563,2024-03-10,concluído
97134,11028,772,2024-07-01,cancelado
14699,14196,980,2024-06-15,cancelado
80326,62846,493,2024-03-19,concluído
37018,2369,563,2024-08-23,cancelado
61534,70858,1342,2024-05-17,concluído
7992,34020,256,2024-04-22,cancelado
15381,59041,310,2024-05-25,pendente
12966,77501,1641,2024-01-09,concluído
56456,89688,1512,2024-04-23,pendente
30003,33037,352,2024-03-15,concluído
32921,29025,1838,2024-06-01,pendente
22359,34291,957,2024-09-21,pendente
508,61908,962,2024-08-30,concluído
21808,62123,1886,2024-03-01,concluído
46363,10093,246,2024-02-18,concluído
20349,93041,533,2024-07-17,cancelado
92380,52703,1428,2024-04-16,cancelado
64773,21387,422,2024-02-28,cancelado
90112,81666,1158,2024-05-02,cancelado
86565,54692,142,2024-08-14,concluído
31258,87676,1093,2024-03-12,pendente
42574,89542,1782,2024-08-18,pendente
12415,82399,1574,2024-02-04,pendente
2572,35217,705,2024-02-20,cancelado
8490,70543,911,2024-02-16,concluído
19026,3779,1850,2024-05-20,cancelado
50853,28068,946,2024-05-01,concluído
80860,30048,662,2024-02-24,pendente
62785,51194,3,2024-10-09,concluído
88705,48185,645,2024-03-17,concluído
71919,83164,43,2024-03-31,pendente
55030,48789,175,2024-04-16,cancelado
52427,86808,18,2024-04-05,cancelado
20024,97957,1951,2024-09-14,cancelado
66335,4513,1289,2024-03-21,cancelado
25325,73376,1215,2024-03-03,cancelado
57812,20173,1665,2024-06-10,cancelado
59885,38534,1448,2024-06-01,cancelado
38981,71224,111,2024-04-30,cancelado
15946,54102,987,2024-08-21,concluído
52209,2776,362,2024-03-12,concluído
3082,72326,1775,2024-03-02,concluído
16038,46682,126,2024-01-06,pendente
29872,11975,1926,2024-05-17,pendente
40273,37833,1219,2024-08-06,cancelado
83089,47802,1726,2024-09-26,concluído
49989,91278,1205,2024-06-04,concluído
8974,27348,1955,2024-04-10,cancelado
70488,84312,1175,2024-03-02,concluído
21857,97247,497,2024-03-29,pendente
15136,74194,1835,2024-08-26,concluído
30147,12739,1561,2024-01-30,concluído
41656,53917,873,2024-10-09,pendente
40342,91209,1056,2024-04-26,pendente
99617,10093,247,2024-01-30,concluído
9245,56861,769,2024-04-15,cancelado
18459,71605,106,2024-02-25,cancelado
29429,77013,951,2024-02-26,concluído
36139,45890,1765,2024-03-27,pendente
49151,89688,1512,2024-01-29,pendente
43935,76564,597,2024-04-03,pendente
43823,63773,33,2024-03-26,concluído
95842,87676,1092,2024-01-15,cancelado
34161,27504,1148,2024-08-06,concluído
39596,91209,1056,2024-06-14,pendente
64042,6904,1830,2024-01-19,pendente
88738,11152,1852,2024-09-29,pendente
73439,66248,1796,2024-09-30,cancelado
87316,36343,1430,2024-03-22,concluído
42483,4351,1185,2024-07-13,cancelado
90482,66022,87,2024-01-23,concluído
14858,28811,220,2024-07-30,concluído
26362,41072,326,2024-05-06,cancelado
37037,42056,566,2024-03-12,concluído
45450,21143,1650,2024-05-14,concluído
70991,61624,1480,2024-10-11,cancelado
46246,91209,1056,2024-07-23,cancelado
59731,49929,441,2024-04-07,cancelado
93189,98768,969,2024-01-22,concluído
