id,nome,descricao,categoria_id,preco,marca,estoque,data_cadastro
6116,Dignissimos,Reprehenderit inventore praesentium quaerat quasi.,6,697.48,Marca C,924,2020-02-01
6889,Commodi,Sapiente modi totam eos.,4,822.92,Marca B,337,2020-02-08
38574,Nemo,Unde et explicabo accusantium labore.,1,792.98,Marca D,535,2020-10-05
31427,Veniam,Esse fugiat provident cumque voluptatum sint.,1,971.62,Marca A,560,2021-01-07
12577,Placeat,Corporis itaque facere dolorum minima ipsa.,6,121.23,Marca D,727,2023-07-31
25393,Cupiditate,Necessitatibus ad assumenda molestiae mollitia.,7,669.18,Marca A,572,2024-01-25
52528,Occaecati,Numquam corporis et corporis perferendis.,3,294.92,Marca B,150,2023-07-05
37884,A,Non ab eaque deleniti aliquam sit deserunt.,4,286.83,Marca D,594,2022-10-02
94997,Ex,Dolor tempora nisi dolor quam pariatur et.,3,137.6,Marca C,35,2021-04-13
97620,Quas,Rerum delectus magnam dolor voluptatum.,4,617.77,Marca C,907,2023-09-23
38301,Deleniti,Sint ipsam accusantium.,7,583.57,Marca C,161,2020-06-21
67557,A,Nulla voluptatum quos magni totam consequatur aspernatur.,7,176.84,Marca A,543,2024-05-17
62637,Beatae,Eius ipsa labore iste mollitia veniam eaque.,3,337.15,Marca C,447,2022-08-20
92284,Corporis,Tenetur dignissimos sed officiis.,3,315.59,Marca A,105,2024-04-12
88272,Explicabo,Nemo perspiciatis fugit placeat earum.,5,367.77,Marca D,992,2024-10-14
43497,Sequi,Eaque ipsum nostrum soluta ipsum.,3,635.49,Marca A,904,2022-11-28
25454,Cupiditate,Harum maiores blanditiis minus dolor.,7,166.07,Marca A,332,2021-10-08
83127,Doloremque,Maxime aliquid commodi corporis.,5,19.89,Marca A,85,2024-02-03
30588,Non,Mollitia eos veniam dignissimos sint veritatis.,5,615.87,Marca D,393,2021-03-30
19771,Quis,Ipsam in modi sunt dicta voluptatem ducimus.,7,832.78,Marca C,14,2020-09-30
27681,Ea,In similique officiis modi earum hic.,7,890.78,Marca C,603,2023-08-03
36324,Facilis,Dolores rem possimus ipsum consequatur.,2,543.42,Marca C,880,2022-09-19
3343,Vel,Occaecati totam suscipit accusamus ducimus.,1,910.79,Marca B,275,2023-07-21
16979,Modi,Impedit cupiditate voluptatem error.,5,61.89,Marca A,28,2023-12-28
85939,Corrupti,Dolor ducimus voluptas omnis totam.,1,125.51,Marca A,364,2021-05-13
